Header,internal_code
tr|O51865|O51865_ECOLX,kpsT_1
sp|P23888|KPST1_ECOLX,kpsT_2
fig|2742617.3.peg.1785,kpsT_185
fig|1913989.1459.peg.357,kpsT_186
fig|1351754.4.peg.2774,kpsT_187
fig|2052174.21.peg.793,kpsT_188
fig|1904441.88.peg.1896,kpsT_189
fig|2599616.3.peg.5212,kpsT_190
fig|1978525.35.peg.2670,kpsT_191
fig|197.15144.peg.1687,kpsT_192
fig|28214.40.peg.2078,kpsT_193
fig|28095.57.peg.3853,kpsT_194
fig|1907202.14.peg.528,kpsT_195
fig|382.321.peg.1990,kpsT_196
fig|2926468.4.peg.3253,kpsT_197
fig|2835536.3.peg.3751,kpsT_198
fig|157276.279.peg.2940,kpsT_199
fig|3080827.3.peg.2151,kpsT_200
fig|655353.6.peg.4345,kpsT_201
fig|3046723.4.peg.3725,kpsT_202
fig|413502.54.peg.295,kpsT_203
fig|637911.3.peg.1550,kpsT_204
fig|195.5291.peg.291,kpsT_205
fig|1948890.147.peg.3321,kpsT_206
fig|885.82.peg.412,kpsT_207
fig|1871086.9.peg.1736,kpsT_208
fig|87883.116.peg.6510,kpsT_209
fig|413497.34.peg.2318,kpsT_210
fig|498.9.peg.66,kpsT_211
fig|2706547.3.peg.3050,kpsT_212
fig|2211665.3.peg.1738,kpsT_213
fig|1248401.4.peg.1157,kpsT_214
fig|1382803.7.peg.3767,kpsT_215
fig|195.2429.peg.674,kpsT_216
fig|1159496.3.peg.3519,kpsT_217
fig|2861285.3.peg.2315,kpsT_218
fig|2867240.3.peg.482,kpsT_219
fig|562.25307.peg.3525,kpsT_220
fig|197.14832.peg.899,kpsT_221
fig|195.1005.peg.496,kpsT_222
fig|2697655.3.peg.2024,kpsT_223
fig|2792619.3.peg.4422,kpsT_224
fig|1929291.7.peg.6720,kpsT_225
fig|1913989.653.peg.63,kpsT_226
fig|1123236.3.peg.1564,kpsT_227
fig|876.9.peg.2916,kpsT_228
fig|1505036.4.peg.2162,kpsT_229
fig|2035344.4.peg.3389,kpsT_230
fig|382.296.peg.6206,kpsT_231
fig|106592.26.peg.7035,kpsT_232
fig|2608998.3.peg.151,kpsT_233
fig|562.17558.peg.1995,kpsT_234
fig|441103.7.peg.4221,kpsT_235
fig|35806.60.peg.4393,kpsT_236
fig|1978525.61.peg.3263,kpsT_237
fig|2116655.3.peg.1992,kpsT_238
fig|2479202.3.peg.5061,kpsT_239
fig|1874826.63.peg.464,kpsT_240
fig|1977087.1782.peg.996,kpsT_241
fig|1054.17.peg.629,kpsT_242
fig|2920385.4.peg.2354,kpsT_243
fig|546.1509.peg.3338,kpsT_244
fig|1486281.29.peg.1325,kpsT_245
fig|885.157.peg.1894,kpsT_246
fig|1926289.7.peg.4113,kpsT_247
fig|2841570.3.peg.586,kpsT_248
fig|1182697.3.peg.982,kpsT_249
fig|562.66995.peg.156,kpsT_250
fig|2587856.3.peg.906,kpsT_251
fig|562.9771.peg.5146,kpsT_252
fig|1891229.106.peg.628,kpsT_253
fig|246167.102.peg.1877,kpsT_254
fig|157276.145.peg.4759,kpsT_255
fig|562.110817.peg.1569,kpsT_256
fig|293344.37.peg.3687,kpsT_257
fig|89584.15.peg.2114,kpsT_258
fig|1909293.107.peg.4178,kpsT_259
fig|2049043.88.peg.824,kpsT_260
fig|3058050.31.peg.6928,kpsT_261
fig|2606843.4.peg.772,kpsT_262
fig|3141541.4.peg.534,kpsT_263
fig|1904441.1156.peg.486,kpsT_264
fig|654.680.peg.635,kpsT_265
fig|2910174.78.peg.4063,kpsT_266
fig|562.142506.peg.2120,kpsT_267
fig|654.980.peg.1705,kpsT_268
fig|2910174.70.peg.3027,kpsT_269
fig|1486281.56.peg.3043,kpsT_270
fig|83655.421.peg.2691,kpsT_271
fig|1913989.4542.peg.3015,kpsT_272
fig|1871086.270.peg.420,kpsT_273
fig|197.14824.peg.1436,kpsT_274
fig|358.648.peg.2186,kpsT_275
fig|3098145.3.peg.774,kpsT_276
fig|553088.7.peg.3442,kpsT_277
fig|3299028.3.peg.3274,kpsT_278
fig|1889775.147.peg.1269,kpsT_279
fig|472.321.peg.2023,kpsT_280
fig|3107636.25.peg.1721,kpsT_281
fig|91750.3082.peg.1441,kpsT_282
fig|91750.3831.peg.6163,kpsT_283
fig|115547.336.peg.2751,kpsT_284
fig|91750.4156.peg.6329,kpsT_285
fig|293400.178.peg.1527,kpsT_286
fig|3097968.6.peg.1809,kpsT_287
fig|100234.273.peg.1455,kpsT_288
fig|261011.12.peg.237,kpsT_289
fig|167968.769.peg.416,kpsT_290
fig|151985.23.peg.2966,kpsT_291
fig|2675431.5.peg.5030,kpsT_292
fig|413497.31.peg.3499,kpsT_293
fig|2663806.3.peg.1508,kpsT_294
fig|1913989.644.peg.3256,kpsT_295
fig|106592.17.peg.3872,kpsT_296
fig|100233.67.peg.4784,kpsT_297
fig|197.22280.peg.1880,kpsT_298
fig|1913988.1166.peg.1013,kpsT_299
fig|2067992.5.peg.54,kpsT_300
fig|168471.37.peg.204,kpsT_301
fig|1977087.6961.peg.15,kpsT_302
