Header,internal_code
fig|1952511.3.peg.1088,kpsD_229
fig|839.24.peg.1644,kpsD_230
fig|201.34.peg.300,kpsD_231
fig|1031538.3.peg.801,kpsD_232
fig|195.2426.peg.411,kpsD_233
fig|195.2443.peg.292,kpsD_234
fig|1805633.3.peg.560,kpsD_235
fig|2292955.3.peg.3733,kpsD_236
fig|370804.788.peg.494,kpsD_237
fig|2212467.55.peg.2785,kpsD_238
fig|1864939.4.peg.2265,kpsD_239
fig|159272.2045.peg.740,kpsD_240
fig|96345.610.peg.1031,kpsD_241
fig|820.5948.peg.1514,kpsD_242
fig|1268785.32.peg.914,kpsD_243
fig|159272.1348.peg.951,kpsD_244
fig|239.15.peg.1808,kpsD_245
fig|1938684.3.peg.1901,kpsD_246
fig|370804.538.peg.2459,kpsD_247
fig|371601.432.peg.772,kpsD_248
fig|1304903.3.peg.1009,kpsD_249
fig|28110.13.peg.1009,kpsD_250
fig|310297.1022.peg.2071,kpsD_251
fig|1031542.9.peg.151,kpsD_252
fig|159272.850.peg.407,kpsD_253
fig|2746.8.peg.1404,kpsD_254
fig|820.5844.peg.2456,kpsD_255
fig|821.5395.peg.1538,kpsD_256
fig|2480802.3.peg.4514,kpsD_257
fig|59823.1697.peg.2135,kpsD_258
fig|59823.1736.peg.1101,kpsD_259
fig|2026735.830.peg.639,kpsD_260
fig|892.24.peg.2061,kpsD_261
fig|1420917.4.peg.285,kpsD_262
fig|820.27.peg.3955,kpsD_263
tr|A0A0N8Q5F0|A0A0N8Q5F0_9GAMM,kpsD_264
fig|1891241.116.peg.1042,kpsD_265
fig|1763549.11.peg.5276,kpsD_266
fig|181674.129.peg.2306,kpsD_267
fig|1566023.4.peg.646,kpsD_268
fig|1055104.10.peg.932,kpsD_269
fig|77095.33.peg.2504,kpsD_270
fig|2824118.3.peg.1523,kpsD_271
fig|1920032.9.peg.158,kpsD_272
fig|2268179.138.peg.1277,kpsD_273
fig|159272.1998.peg.1974,kpsD_274
fig|162156.1236.peg.391,kpsD_275
fig|218934.190.peg.566,kpsD_276
fig|162156.631.peg.2630,kpsD_277
fig|194926.29.peg.153,kpsD_278
fig|165433.172.peg.1073,kpsD_279
fig|371601.1512.peg.1989,kpsD_280
fig|3143538.3.peg.1331,kpsD_281
fig|538949.1052.peg.536,kpsD_282
fig|3015983.3.peg.1217,kpsD_283
fig|1946544.3.peg.1603,kpsD_284
fig|2498093.1592.peg.1146,kpsD_285
fig|1977087.4838.peg.2476,kpsD_286
fig|538949.5020.peg.642,kpsD_287
fig|159272.3826.peg.729,kpsD_288
fig|159272.3819.peg.1682,kpsD_289
fig|239.330.peg.1872,kpsD_290
fig|1760811.3.peg.481,kpsD_291
fig|2301481.15110.peg.1418,kpsD_292
fig|1891218.4.peg.232,kpsD_293
fig|562.144245.peg.1678,kpsD_294
fig|1983277.194.peg.1765,kpsD_295
fig|821.6484.peg.2510,kpsD_296
fig|562.36520.peg.5055,kpsD_297
fig|28116.2507.peg.3026,kpsD_298
fig|239.397.peg.560,kpsD_299
fig|3065857.27.peg.2501,kpsD_300
fig|331634.195.peg.840,kpsD_301
fig|562.141862.peg.1842,kpsD_302
fig|1977087.5461.peg.3281,kpsD_303
fig|115561.9.peg.3584,kpsD_304
fig|2049043.63.peg.69,kpsD_305
fig|1871086.197.peg.150,kpsD_306
fig|83655.236.peg.3854,kpsD_307
fig|1283315.75.peg.324,kpsD_308
fig|188144.28.peg.4249,kpsD_309
fig|1949083.13.peg.2232,kpsD_310
fig|1973901.3.peg.503,kpsD_311
fig|644.1330.peg.1058,kpsD_312
fig|1917865.219.peg.1468,kpsD_313
fig|1055104.46.peg.3307,kpsD_314
fig|2030927.5665.peg.1723,kpsD_315
fig|40214.457.peg.1214,kpsD_316
fig|979706.3.peg.1919,kpsD_317
fig|2838779.299.peg.4375,kpsD_318
fig|797541.112.peg.139,kpsD_319
fig|223185.40.peg.214,kpsD_320
fig|3151496.4.peg.2943,kpsD_321
fig|2735898.3.peg.3170,kpsD_322
fig|370804.558.peg.1120,kpsD_323
fig|562.34488.peg.5246,kpsD_324
fig|2030927.1666.peg.508,kpsD_325
fig|2597355.3.peg.2263,kpsD_326
fig|162156.277.peg.2381,kpsD_327
fig|167968.72.peg.1971,kpsD_328
fig|2212467.254.peg.305,kpsD_329
fig|370804.652.peg.212,kpsD_330
fig|2125989.3.peg.1971,kpsD_331
fig|59823.815.peg.893,kpsD_332
fig|2212467.632.peg.1803,kpsD_333
fig|2212467.593.peg.812,kpsD_334
fig|2030808.3.peg.2432,kpsD_335
fig|2045202.3.peg.126,kpsD_336
fig|876416.22.peg.1369,kpsD_337
fig|1948138.3.peg.32,kpsD_338
fig|377629.3.peg.1363,kpsD_339
fig|47678.1013.peg.4266,kpsD_340
fig|562.9836.peg.5423,kpsD_341
fig|1262740.3.peg.574,kpsD_342
fig|159272.58.peg.2244,kpsD_343
fig|1916082.12.peg.1759,kpsD_344
fig|1121935.11.peg.896,kpsD_345
fig|1913989.948.peg.1459,kpsD_346
fig|654.244.peg.603,kpsD_347
fig|1327752.3.peg.813,kpsD_348
fig|654.202.peg.2696,kpsD_349
fig|562.65504.peg.770,kpsD_350
fig|195.1959.peg.1172,kpsD_351
fig|562.78142.peg.1462,kpsD_352
fig|413434.4.peg.2598,kpsD_353
fig|197.15221.peg.1356,kpsD_354
fig|197.21048.peg.1197,kpsD_355
fig|821.4561.peg.3319,kpsD_356
fig|2587022.3.peg.2061,kpsD_357
fig|1281275.3.peg.384,kpsD_358
fig|998674.3.peg.390,kpsD_359
fig|457575.3.peg.2004,kpsD_360
fig|29523.86.peg.1641,kpsD_361
fig|1949086.3.peg.1296,kpsD_362
fig|1776741.5.peg.1566,kpsD_363
fig|1076549.5.peg.3694,kpsD_364
fig|162156.279.peg.815,kpsD_365
fig|562.70734.peg.1918,kpsD_366
fig|1938869.3.peg.31,kpsD_367
fig|1871037.511.peg.1487,kpsD_368
fig|2049432.72.peg.1957,kpsD_369
fig|194843.2712.peg.1152,kpsD_370
fig|159272.2066.peg.49,kpsD_371
fig|1898203.6029.peg.858,kpsD_372
fig|370804.1719.peg.1398,kpsD_373
fig|1869227.5718.peg.583,kpsD_374
fig|50741.81.peg.1340,kpsD_375
fig|59823.1432.peg.1605,kpsD_376
fig|329854.748.peg.4623,kpsD_377
fig|197.22295.peg.347,kpsD_378
fig|59823.1936.peg.761,kpsD_379
fig|37752.9.peg.4161,kpsD_380
fig|820.5879.peg.1976,kpsD_381
fig|2878150.5.peg.28,kpsD_382
fig|370804.1822.peg.1224,kpsD_383
fig|162156.696.peg.360,kpsD_384
fig|159272.1641.peg.2643,kpsD_385
fig|1958893.9.peg.1076,kpsD_386
fig|194843.3234.peg.1675,kpsD_387
fig|194843.488.peg.2081,kpsD_388
fig|83655.422.peg.2570,kpsD_389
fig|2021370.136.peg.1239,kpsD_390
fig|1869212.585.peg.1932,kpsD_391
fig|85831.448.peg.2723,kpsD_392
fig|370804.783.peg.1748,kpsD_393
fig|28090.170.peg.2158,kpsD_394
